word,src,timestep,PC1,PC2
除,weibo,8,-0.5517234,0.02873202
同步,weibo,8,-0.21448894,-0.05417137
2011,weibo,8,-0.20354311,-0.27905214
旅行,weibo,8,0.19091631,-0.30196005
特殊,weibo,8,-0.124130085,0.04283095
組,weibo,8,0.14487919,-0.23487334
進去,weibo,8,0.50830436,-0.07165568
檢測,weibo,8,-0.33360243,-0.13887505
如同,weibo,8,0.013609172,-0.026479155
決心,weibo,8,-0.24612136,0.10286957
武力,weibo,8,-0.021789072,0.13926436
一貫,weibo,8,-0.30496684,0.15188682
首次,weibo,8,-0.4998945,-0.21163133
趕,weibo,8,0.10722282,-0.02785603
容易,weibo,8,0.124048285,0.021693293
吐,weibo,8,0.48379803,-0.16137522
命運,weibo,8,-0.07788177,0.18966085
咖啡,weibo,8,0.20586063,-0.3009561
防禦,weibo,8,-0.46388876,0.3073573
正式,weibo,8,-0.3582242,-0.27829888
只要,weibo,8,0.2526136,0.08131851
不讓,weibo,8,0.19316213,0.11270671
不但,weibo,8,0.056882456,0.14761113
背,weibo,8,0.21108612,-0.22048628
白天,weibo,8,0.06385983,-0.09860327
最後,weibo,8,0.23510051,-0.092095345
立刻,weibo,8,0.12534185,0.0052574645
捧,weibo,8,0.34282866,0.10529155
彷彿,weibo,8,0.42134637,-0.093582734
身體,weibo,8,0.03052916,-0.1024206
做到,weibo,8,0.23353173,0.25798786
直接,weibo,8,0.015251199,-0.14215252
約,weibo,8,-0.20119046,-0.4375016
風景,weibo,8,0.46028388,-0.19272034
將近,weibo,8,0.23187943,-0.1546511
組成,weibo,8,-0.43916976,-0.11437427
治理,weibo,8,-0.06818916,0.36439073
並非,weibo,8,-0.16317974,0.32888088
突然,weibo,8,0.09509819,-0.24301517
北部,weibo,8,-0.4005394,-0.25258625
使,weibo,8,-0.12365229,0.2966973
這才,weibo,8,0.26623255,0.08918739
強硬,weibo,8,-0.18531618,0.32329935
人家,weibo,8,0.4576015,-0.029979434
何必,weibo,8,0.323754,0.14792807
表演,weibo,8,-0.0020397552,-0.23023337
半天,weibo,8,0.104810834,-0.16062747
團,weibo,8,-0.12777357,-0.17653656
烤,weibo,8,0.2307917,-0.48563793
串,weibo,8,0.28123093,-0.08810664
我家,weibo,8,0.42264858,-0.06852744
重視,weibo,8,-0.10549822,0.09058601
歐洲,weibo,8,-0.1969294,-0.06803599
舉辦,weibo,8,-0.4901341,-0.32679784
一國兩制,weibo,8,0.15821658,-0.05295099
食材,weibo,8,0.31437734,-0.310292
9,weibo,8,-0.33440018,-0.4147365
大約,weibo,8,-0.3514488,-0.18911426
廣大,weibo,8,0.080693394,0.18203971
間,weibo,8,0.01597735,-0.08539095
晚餐,weibo,8,0.34653917,-0.42018577
早就,weibo,8,0.16143136,-0.02886699
男子,weibo,8,-0.12489754,-0.30826032
學校,weibo,8,0.080073856,-0.013333544
盒,weibo,8,-0.008690768,-0.6285253
阿,weibo,8,0.26984683,-0.2566277
敏感,weibo,8,0.044733956,0.22414163
年前,weibo,8,-0.16059254,-0.18860719
時光,weibo,8,0.26173127,-0.18613952
其它,weibo,8,-0.07668984,0.30209363
產品,weibo,8,-0.24951446,-0.0924
今晚,weibo,8,0.26911718,-0.55607945
方向,weibo,8,-0.11227512,0.05640852
心情,weibo,8,0.4745491,-0.08540185
或,weibo,8,-0.261236,0.026286457
高興,weibo,8,0.35418248,0.10326333
規則,weibo,8,0.031681187,0.31597918
賺錢,weibo,8,0.41569084,0.032633986
生物,weibo,8,-0.4775274,-0.056786157
は,weibo,8,-0.40329686,-0.2137609
節,weibo,8,0.11769743,-0.19953799
一種,weibo,8,0.119641535,0.14787456
出版,weibo,8,-0.24512129,-0.2965401
害,weibo,8,0.4192408,0.12733501
壞,weibo,8,0.30129525,0.053917155
從來不,weibo,8,0.33867612,0.21930553
跳,weibo,8,0.26985353,-0.30198863
股東,weibo,8,-0.37055323,-0.07311217
我能,weibo,8,0.510943,-0.0539406
無法,weibo,8,-0.044056445,0.2697656
日至,weibo,8,-0.4108651,-0.45549145
祝福,weibo,8,0.33197486,-0.07711413
結合,weibo,8,-0.08836266,0.004523289
取代,weibo,8,-0.3575679,-0.04053524
36,weibo,8,-0.4733393,-0.28181085
中方,weibo,8,-0.26891527,0.13279298
主席,weibo,8,-0.21775751,-0.16312602
肉,weibo,8,0.26937008,-0.21500047
近來,weibo,8,-0.20942883,0.31522313
未,weibo,8,-0.47701603,-0.0025805254
者,weibo,8,-0.13137366,-0.2268044
季,weibo,8,-0.082645535,-0.5440216
回顧,weibo,8,-0.128076,-0.4071504
100,weibo,8,-0.13576467,-0.47203177
嘗試,weibo,8,0.19321565,-0.002967521
主流,weibo,8,-0.5167651,0.16586213
全部,weibo,8,-0.17099734,0.032289956
