word,src,timestep,PC1,PC2
分裂,weibo,12,-0.37846857,0.2687109
武統,weibo,12,-0.24021643,-0.006339331
國民黨,ptt,9,-0.8767575,-0.7384227
中華民國,ptt,9,-0.52519256,0.18547672
臺灣,ptt,8,-0.9729067,-0.4883881
民進黨,ptt,9,-0.42864192,-0.3598339
臺灣,ptt,9,-0.9970058,-0.5813901
臺灣,ptt,7,-1.2061865,-0.50786555
民進黨,ptt,7,-0.61387634,-0.5386175
中華民國,ptt,7,-0.3229818,-0.003316206
民進黨,ptt,12,-0.6660997,-0.4542534
臺灣,ptt,12,-1.1245084,-0.07252448
統一,ptt,8,-0.3401272,0.23675254
臺獨,ptt,7,-0.62614566,-0.43418464
兩岸,ptt,7,-0.3266169,0.1486885
臺灣,ptt,11,-1.055457,-0.64885706
獨立,ptt,11,-0.58070356,-0.20230599
中華民國,ptt,11,-0.27561152,0.12358296
臺灣,ptt,6,-1.142825,-0.7330147
民進黨,ptt,6,-0.30153283,-0.28539348
中華民國,ptt,6,-0.3970287,0.21147674
中華民國,ptt,10,-0.44733077,-0.05250814
臺灣,ptt,0,-1.2270049,-0.50453496
民進黨,ptt,0,-0.44848254,-0.45297962
國民黨,ptt,0,-0.44435278,-0.2339614
國民黨,ptt,1,-0.2733445,-0.5268241
臺灣,ptt,1,-1.131961,-0.3909988
國民黨,ptt,10,-0.19176486,-0.06444287
臺灣,ptt,10,-1.0669469,-0.5042926
國民黨,ptt,12,-0.615693,-0.47997656
民進黨,ptt,1,-0.45252773,-0.6495176
臺灣,ptt,4,-1.2406315,-0.4608779
民進黨,ptt,4,-0.5460277,-0.5434827
民進黨,ptt,8,-0.47619936,-0.46231753
臺獨,ptt,4,-0.5407582,-0.1091777
兩岸,ptt,4,-0.27495524,0.17439254
國民黨,ptt,4,-0.24135406,-0.34779924
國民黨,ptt,11,-0.44359452,-0.35214594
兩岸,ptt,11,-0.3810542,0.036860447
民進黨,ptt,11,-0.23712681,-0.18262741
臺灣,ptt,2,-1.3913482,-0.26183212
兩岸,ptt,9,-0.031865276,0.28558213
國民黨,ptt,7,-0.5489995,-0.46687657
國民黨,ptt,2,-0.48225003,-0.3359576
民進黨,ptt,2,0.05180283,-0.41965887
中華民國,ptt,2,-0.4850108,0.22003476
獨立,ptt,2,-0.50494546,-0.11297839
兩岸,ptt,2,-0.31569663,0.27153385
民進黨,ptt,5,-0.4237208,-0.67748475
獨立,ptt,5,-0.40418446,0.013092192
臺灣,ptt,5,-0.8495604,-0.80646336
中華民國,ptt,12,-0.30232266,0.04574942
中華民國,ptt,3,-0.5095229,0.12351399
臺灣,ptt,3,-0.9798039,-0.40815616
國民黨,ptt,3,-0.3341781,-0.34326157
統一,ptt,0,-0.42824802,0.075952224
國民黨,ptt,8,-0.39132056,-0.4190636
臺獨,ptt,9,-0.5031064,-0.19953908
兩岸,ptt,3,-0.5085133,-0.29305512
統一,ptt,3,-0.44258913,0.052982226
國民黨,ptt,5,-0.39972016,-0.5742555
統一,ptt,10,-0.4798304,0.07384714
民進黨,ptt,3,-0.3166777,-0.42319825
兩岸,ptt,8,-0.19362836,0.1988531
中華民國,ptt,1,-0.38731146,-0.16629429
統一,ptt,1,-0.46561426,-0.01797189
中華民國,ptt,8,-0.40697274,0.1911522
兩岸,ptt,0,-0.35292846,-0.048385072
兩岸,ptt,12,-0.5613397,-0.21774007
臺獨,ptt,5,-0.45076817,-0.18330084
和平,ptt,5,-0.36934718,-0.028437585
臺獨,ptt,10,-0.28611332,0.075372405
臺獨,ptt,3,-0.46979934,-0.040836427
獨立,ptt,3,-0.43047744,-0.18405282
民進黨,ptt,10,-0.3960102,-0.33274648
中華民國,ptt,0,-0.4480531,0.31741697
統一,ptt,2,-0.4367164,0.220799
獨立,ptt,7,-0.43998602,-0.19026417
統一,ptt,5,-0.32989147,-0.013740896
國民黨,ptt,6,-0.41628236,-0.17382987
臺獨,ptt,1,-0.41890496,-0.06176107
獨立,ptt,1,-0.37494513,0.062583625
統一,ptt,11,-0.57810026,-0.16963
兩岸,ptt,10,-0.3355449,0.095199876
統一,ptt,7,-0.33771163,0.12571333
統一,ptt,4,-0.4524519,0.047852475
兩岸,ptt,5,-0.33949378,0.04886124
獨立,ptt,10,-0.3627071,0.28376964
中華民國,ptt,4,-0.48636705,0.07546594
