collo_1,collo_2,MI,Xsq,Gsq,count,src,timestep
去,中國,2.624771794326436,82.56266414436226,37.58998967641882,19,ptt,7
到,中國,2.207365187519497,56.93556672943967,30.101712587133754,20,ptt,7
和,中國,2.4119211280875623,56.353309801140206,27.709224324284808,16,ptt,7
被,中國,1.8515863137165227,37.90387840337124,22.60354412945254,20,ptt,7
打,中國,2.728253760081405,47.9051752094771,20.970979306315257,10,ptt,7
「,中國,1.447324806033414,30.848530598752642,20.93990439566347,28,ptt,7
不是,中國,2.09471582049707,32.687200876944665,17.953053393749357,13,ptt,7
因為,中國,2.048068015702849,26.23787467997371,14.6386955924537,11,ptt,7
就是,中國,1.6455700047671333,20.36360382288255,12.973837547377446,14,ptt,7
，,中國,0.41789188248057385,12.345377900528758,11.226967611296786,138,ptt,7
、,中國,0.9700377106611121,14.222215591830048,11.113285503450907,30,ptt,7
說,中國,1.2504451422484177,11.24877431250997,8.09401731859349,14,ptt,7
REMOVEDURL,中國,1.127861218790643,7.752444285779709,5.78203293289163,12,ptt,7
為,中國,1.0018188334073685,5.547432953212905,4.289746023336621,11,ptt,7
。,中國,0.46223068811538465,3.6793213560343734,3.2937239388527217,35,ptt,7
？,中國,0.32560199123175826,0.5146584614728552,0.4762424783959478,10,ptt,7
了,中國,0.0873045024774223,0.05546171366395158,0.054353535339268566,15,ptt,7
:,中國,-0.098647311018037,-0.09478250780199068,-0.09691401890321583,20,ptt,7
的,中國,-0.2291954240642728,-1.3608404438003558,-1.4303578294172148,52,ptt,7
中國,人,4.2311280554669555,2625.4494013792487,632.3167395298549,155,ptt,7
中國,大陸,6.636311920021821,6253.632485629501,477.3547259173632,64,ptt,7
中國,的,1.3384990776253876,149.21185107302912,105.94142958136624,156,ptt,7
中國,製造,5.552053433212605,540.3996224651412,70.04082323012028,12,ptt,7
中國,武漢,4.283480843837381,175.64585597464045,40.8048881924907,10,ptt,7
中國,經濟,3.9406994336000483,134.5175422125204,36.244378565907475,10,ptt,7
中國,對,2.3840767035598147,65.0712463721119,32.32546387170421,19,ptt,7
中國,真的,1.9626586861761885,21.614509549586806,12.410443294628703,10,ptt,7
中國,就,0.5355022569487573,2.1058079987324696,1.8483511938978552,15,ptt,7
中國,有,0.42878874111758464,1.5256927592571914,1.3762659664614354,17,ptt,7
中國,要,0.4608092932016523,1.0348182293535289,0.925642853508573,10,ptt,7
中國,也,0.2170263380505161,0.3200200309742773,0.304116564005799,14,ptt,7
中國,是,0.003616808516563228,0.00013368475137121112,0.00013357454109824696,21,ptt,7
中國,都,-0.06907422468170724,-0.023097828392530103,-0.023463708609461342,10,ptt,7
中國,在,-0.07759140883198042,-0.040895852411110135,-0.04162189235602809,14,ptt,7
中國,。,-0.7993139556596001,-4.797164032899635,-5.660536507574911,15,ptt,7
中國,，,-0.8475981947802124,-21.81406621243076,-25.793183321105943,58,ptt,7
在,日本,3.214793684569252,313.03526672373187,114.85006984869679,42,ptt,7
去,日本,3.772857961993219,152.98754165975168,44.23455544294579,13,ptt,7
、,日本,2.218152696659167,63.63806062767702,33.65614765294043,22,ptt,7
跟,日本,3.0657461085839133,78.14468839897336,30.103279778762886,12,ptt,7
是,日本,1.8427824716989374,43.407676947487204,26.079608355695342,23,ptt,7
:,日本,1.3624613983142162,16.51625714962786,11.527102851893101,17,ptt,7
